name,year,genre,rating,sentiment,gross
The Shawshank Redemption,1994,Drama,9.3,-0.183371298405467,"28,341,469"
The Godfather,1972,"Crime, Drama",9.2,-0.0242214532871972,"134,966,411"
The Godfather: Part II,1974,"Crime, Drama",9,0.0576314122862571,"57,300,000"
Schindler's List,1993,"Biography, Drama, History",8.9,-0.160663236134934,"96,898,818"
Pulp Fiction,1994,"Crime, Drama",8.9,-0.09149072296865,"107,928,762"
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",8.9,-0.337628865979381,"377,845,905"
Forrest Gump,1994,"Drama, Romance",8.8,0.0865979381443299,"330,252,182"
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",8.8,-0.220116618075802,"315,544,750"
Fight Club,1999,Drama,8.8,-0.263380281690141,"37,030,102"
Inception,2010,"Action, Adventure, Sci-Fi",8.8,-0.149446494464945,"292,576,195"
One Flew Over the Cuckoo's Nest,1975,Drama,8.7,-0.0588235294117647,"112,000,000"
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",8.7,-0.345988977342315,"290,475,067"
The Matrix,1999,"Action, Sci-Fi",8.7,-0.294842186297152,"171,479,930"
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",8.7,-0.24223602484472,"342,551,365"
It's a Wonderful Life,1946,"Drama, Family, Fantasy",8.6,0.0755441741357234,
Star Wars,1977,"Action, Adventure, Fantasy",8.6,-0.268148148148148,"322,740,140"
The Silence of the Lambs,1991,"Crime, Drama, Thriller",8.6,-0.143738433066009,"130,742,922"
Se7en,1995,"Crime, Drama, Mystery",8.6,-0.220188574597892,"100,125,643"
The Green Mile,1999,"Crime, Drama, Fantasy",8.6,-0.284118504128218,"136,801,374"
Saving Private Ryan,1998,"Drama, War",8.6,-0.12286411716843,"216,540,909"
Interstellar,2014,"Adventure, Drama, Sci-Fi",8.6,-0.0509803921568627,"188,020,017"
Psycho,1960,"Horror, Mystery, Thriller",8.5,-0.129346314325452,"32,000,000"
Terminator 2: Judgment Day,1991,"Action, Sci-Fi",8.5,-0.207771181867242,"204,843,350"
The Usual Suspects,1995,"Crime, Mystery, Thriller",8.5,-0.214105793450882,"23,341,568"
American History X,1998,Drama,8.5,-0.269382391590013,"6,719,864"
Gladiator,2000,"Action, Adventure, Drama",8.5,-0.117604090577064,"187,705,427"
The Pianist,2002,"Biography, Drama, Music",8.5,-0.320987654320988,"32,572,577"
The Departed,2006,"Crime, Drama, Thriller",8.5,-0.0829268292682927,"132,384,315"
The Prestige,2006,"Drama, Mystery, Sci-Fi",8.5,-0.0924817032601464,"53,089,891"
Joker,2019,"Crime, Drama, Thriller",8.5,-0.454726368159204,"335,451,311"
Sunset Blvd.,1950,"Drama, Film-Noir",8.4,0.0363153232949513,
Rear Window,1954,"Mystery, Thriller",8.4,-0.129198966408269,"36,764,313"
Alien,1979,"Horror, Sci-Fi",8.4,-0.262200165425972,"78,900,000"
Apocalypse Now,1979,"Drama, Mystery, War",8.4,-0.154034229828851,"83,471,511"
The Shining,1980,"Drama, Horror",8.4,0.1201248049922,"44,017,374"
Raiders of the Lost Ark,1981,"Action, Adventure",8.4,-0.111548556430446,"248,159,971"
Memento,2000,"Mystery, Thriller",8.4,-0.212020033388982,"25,544,867"
Django Unchained,2012,"Drama, Western",8.4,-0.0248366013071895,"162,805,434"
Coco,2017,"Animation, Adventure, Family",8.4,0.0514631685166499,"209,726,015"
Citizen Kane,1941,"Drama, Mystery",8.3,0.0353089533417402,"1,585,634"
Double Indemnity,1944,"Crime, Drama, Film-Noir",8.3,-0.120443740095087,"5,720,000"
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",8.3,0.0321046373365042,"56,954,992"
Taxi Driver,1976,"Crime, Drama",8.3,-0.052158273381295,"28,262,574"
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",8.3,-0.289433384379786,"309,125,409"
Scarface,1983,"Crime, Drama",8.3,-0.0566448801742919,"45,598,982"
Amadeus,1984,"Biography, Drama, History",8.3,0.0887728459530026,"51,973,029"
